no,name,type,ingredients,price,size,vegetarian,dairy,fish,ingredient_count
F1,F1,Pizza,"tomato, cheese, ham, mushroom",42,lunch,False,True,False,4
F2,F2,Pizza,"tomato, cheese, onion, mushroom",42,lunch,True,True,False,4
F3,F3,Pizza,"tomato, cheese, pepperoni, peppers",42,lunch,False,True,False,4
F4,F4,Pizza,"tomato, cheese, ham, pineapple",42,lunch,False,True,False,4
F5,F5,Pizza,"tomato, cheese, onion, meat sauce",42,lunch,False,True,False,4
F6,F6,Pizza,"tomato, cheese, onion, bacon",42,lunch,False,True,False,4
F7,F7,Pizza,"tomato, cheese, minced meat, peppers",42,lunch,False,True,False,4
F8,F8,Pizza,"cheese, potato, rosemary",42,lunch,True,True,False,3
F9,F9,Pizza,"tomato, cheese, shawarma, onion",42,lunch,False,True,False,4
F10,F10,Pizza,"tomato, cheese, chicken, peppers",42,lunch,False,True,False,4
Ham,Ham,Panini,"cheese, lettuce, tomato slices, ham, dressing",37,lunch,False,True,False,5
Vegetarian,Vegetarian,Panini,"cheese, lettuce, tomato slices, cucumber, mushroom, dressing",38,lunch,True,True,False,6
Chicken,Chicken,Panini,"cheese, lettuce, tomato slices, chicken, dressing",40,lunch,False,True,False,5
Chicken & Bacon,Chicken & Bacon,Panini,"cheese, lettuce, tomato slices, chicken, bacon, dressing",46,lunch,False,True,False,6
Mortadella,Mortadella,Panini,"cheese, lettuce, tomato slices, mortadella, dressing",38,lunch,False,True,False,5
Parma ham,Parma ham,Panini,"cheese, lettuce, parma ham, dressing",40,lunch,False,True,False,4
Pastrami,Pastrami,Panini,"cheese, lettuce, pastrami, dressing",40,lunch,False,True,False,4
Tuna,Tuna,Panini,"lettuce, tomato slices, tuna, dressing",40,lunch,False,True,True,4
Shrimp,Shrimp,Panini,"lettuce, tomato slices, shrimp, dressing",40,lunch,False,True,True,4
Italian Salami,Italian Salami,Panini,"cheese, lettuce, salami, dressing",40,lunch,False,True,False,4
Chorizo,Chorizo,Panini,"cheese, lettuce, chorizo, dressing",40,lunch,False,True,False,4
Pecorino & Salami,Pecorino & Salami,Panini,"rocket, pecorino, salami, pesto",42,lunch,False,True,False,4
Pecorino & Parma,Pecorino & Parma,Panini,"rocket, pecorino, parma ham, pesto",43,lunch,False,True,False,4
Pecorino & Bresaola,Pecorino & Bresaola,Panini,"rocket, pecorino, bresaola, pesto",40,lunch,False,True,False,4
Bresaola & Sundried Tomato,Bresaola & Sundried Tomato,Panini,"rocket, parmesan, bresaola, sundried tomato, pesto",49,lunch,False,True,False,5
Vitello,Vitello,Panini,"tomato slices, cheese, lettuce, vitello, dressing, rocket",43,lunch,False,True,False,6
Bruschetta,Bruschetta,Starter,garlic bread,19,regular,True,False,False,1
Bruschetta Gastronomia,Bruschetta Gastronomia,Starter,"garlic bread, cheese, tomato, pesto",26,regular,True,True,False,4
Pane con carne e prezzemolo,Pane con carne e prezzemolo,Starter,"flatbread, minced meat, pesto, lemon",44,regular,False,False,False,4
Carte da musica,Carte da musica,Starter,"flatbread, garlic, olive oil, parmesan",22,regular,True,True,False,4
Carpaccio di bresaola,Carpaccio di bresaola,Starter,"bresaola, olive oil, rocket, parmesan",62,regular,False,True,False,4
Rosemary potatoes,Rosemary potatoes,Starter,"potato, rosemary",30,regular,True,False,False,2
Insalata Mista,Insalata Mista,Salad,mixed salad,40,regular,True,False,False,1
Insalata di Pomodoro,Insalata di Pomodoro,Salad,"mixed salad, tomato, feta",40,regular,True,True,False,3
Insalata di Cesare,Insalata di Cesare,Salad,"mixed salad, bacon, parmesan, egg, crostini, chicken, dressing",58,regular,False,True,False,7
Shrimp salad,Shrimp salad,Salad,"mixed salad, shrimp, rocket, olive oil",48,regular,False,True,True,4
Tuna salad,Tuna salad,Salad,"mixed salad, tuna, rocket, olive oil",46,regular,False,True,True,4
Chicken salad,Chicken salad,Salad,"lettuce, chicken, rocket",48,regular,False,False,False,3
Pasta Chicken salad,Pasta Chicken salad,Salad,"penne, peppers, egg, feta, chicken, peas, potato, pesto",58,regular,False,True,False,8
Pasta Bacon salad,Pasta Bacon salad,Salad,"penne, bacon, cucumber, mushroom, chicken, potato, olive, pesto",58,regular,False,True,False,8
1,Margherita,Pizza,"tomato, cheese",48,regular,True,True,False,2
1,Margherita,Pizza,"tomato, cheese",84,family,True,True,False,2
2,Paesana,Pizza,"tomato, cheese, onion, mushroom",54,regular,True,True,False,4
2,Paesana,Pizza,"tomato, cheese, onion, mushroom",95,family,True,True,False,4
3,Siciliana,Pizza,"tomato, cheese, anchovy, peppers, olive",54,regular,False,True,True,5
3,Siciliana,Pizza,"tomato, cheese, anchovy, peppers, olive",54,family,False,True,True,5
4,Capricciosa,Pizza,"tomato, cheese, ham, mushroom",57,regular,False,True,False,4
4,Capricciosa,Pizza,"tomato, cheese, ham, mushroom",100,family,False,True,False,4
5,Calzone,Pizza,"tomato, cheese, ham, mushroom",59,regular,False,True,False,4
6,Cacciatore,Pizza,"tomato, cheese, salami, bacon, olive",61,regular,False,True,False,5
6,Cacciatore,Pizza,"tomato, cheese, salami, bacon, olive",104,family,False,True,False,5
7,Italiana,Pizza,"tomato, cheese, onion, meat sauce",57,regular,False,True,False,4
7,Italiana,Pizza,"tomato, cheese, onion, meat sauce",100,family,False,True,False,4
8,Vegetariana,Pizza,"tomato, cheese, mushroom, onion, asparagus, peppers, artichoke",61,regular,True,True,False,7
8,Vegetariana,Pizza,"tomato, cheese, mushroom, onion, asparagus, peppers, artichoke",104,family,True,True,False,7
9,Romana,Pizza,"tomato, cheese, onion, bacon, green peppers, egg",60,regular,False,True,False,6
9,Romana,Pizza,"tomato, cheese, onion, bacon, green peppers, egg",103,family,False,True,False,6
10,Hawaii,Pizza,"tomato, cheese, ham, pineapple",58,regular,False,True,False,4
10,Hawaii,Pizza,"tomato, cheese, ham, pineapple",100,regular,False,True,False,4
